Timestamp start,Timestamp end,Duration,Status,Code,Message,Comment,Service contract category,IEC category,Global contract category,Custom contract category
2022-05-19 12:46:31,-,-,Informational,100050,Brake program 60,,,Technical Standby,,
2022-05-19 12:47:17,-,-,Informational,100110,Bypass limit switches,,,Full Performance,,
2022-05-19 12:47:22,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-19 12:48:02,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-19 12:49:07,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-19 12:50:22,2022-05-19 13:01:27,00:11:05,Stop,20,Manual stop - on site,,Manual stop (service)  (9),Scheduled Maintenance,06 (Int) Scheduled Maintenance,
2022-05-19 12:50:22,-,-,Informational,100050,Brake program 60,,,Technical Standby,,
2022-05-19 12:51:01,2022-05-19 13:02:51,00:11:50,Informational,6410,Manual yaw,,Manual stop (service)  (9),Full Performance,,
2022-05-19 13:01:27,-,-,Informational,100110,Bypass limit switches,,,Full Performance,,
2022-05-19 13:01:32,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-19 13:02:15,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-19 13:02:51,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-19 13:04:49,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-05-19 13:04:59,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-05-19 13:05:29,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-05-19 13:10:24,2022-05-19 13:11:12,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-19 13:10:24,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-05-19 13:11:12,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-19 13:11:12,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-19 13:26:44,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-19 13:28:04,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-05-19 13:28:15,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-05-19 13:28:45,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-05-19 13:50:07,2022-05-19 13:50:55,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-19 13:50:07,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-05-19 13:50:55,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-19 13:50:55,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-19 13:53:22,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-19 13:54:55,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-05-19 13:55:05,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-05-19 13:55:35,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-05-21 12:07:06,2022-05-21 12:07:53,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-21 12:07:06,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-05-21 12:07:53,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-21 12:07:53,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-21 12:11:44,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-21 12:12:56,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-05-21 12:13:06,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-05-21 12:13:36,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-05-21 14:35:41,2022-05-21 14:36:29,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-21 14:35:41,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-05-21 14:36:29,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-21 14:36:29,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-21 14:39:01,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-21 14:40:13,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-05-21 14:40:24,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-05-21 14:40:54,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-05-21 15:25:01,2022-05-21 15:25:49,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-21 15:25:01,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-05-21 15:25:49,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-21 15:25:49,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-21 15:28:21,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-21 15:29:45,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-05-21 15:29:56,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-05-21 15:30:26,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-05-21 15:39:29,2022-05-21 15:40:16,00:00:47,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-21 15:39:29,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-05-21 15:40:16,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-21 15:40:16,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-21 15:43:10,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-21 15:44:29,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-05-21 15:44:40,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-05-21 15:45:10,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-05-21 16:44:10,2022-05-21 16:44:58,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-21 16:44:10,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-05-21 16:44:58,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-21 16:44:58,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-21 16:51:25,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-21 16:53:24,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-05-21 16:53:34,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-05-21 16:54:04,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-05-21 16:56:41,2022-05-21 16:57:29,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-21 16:56:41,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-05-21 16:57:29,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-21 16:57:29,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-21 18:26:55,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-21 18:28:45,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-05-21 18:28:55,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-05-21 18:29:25,-,-,Informational,100210,Mains operation,,,Full Performance,,
2022-05-22 07:22:27,2022-05-22 07:23:15,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-22 07:22:27,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-05-22 07:23:15,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-22 07:23:15,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-22 07:30:56,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-22 07:32:22,-,-,Informational,100190,Mains connection,,,Full Performance,,
2022-05-22 07:32:33,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2022-05-22 07:33:03,-,-,Informational,100210,Mains operation,,,Full Performance,,
